type,id,x,y,z,value
SENSE,0,1,1,1,1
SENSE,1,1,2,1,1
SENSE,2,1,3,1,1
SENSE,3,1,4,1,1
SENSE,4,1,5,1,1
SENSE,5,1,6,1,1
SENSE,6,1,7,1,1
SENSE,7,1,8,1,1
SENSE,8,1,9,1,1
SENSE,9,2,1,1,1
SENSE,10,2,2,1,1
SENSE,11,2,3,1,1
SENSE,12,2,4,1,1
SENSE,13,2,5,1,1
SENSE,14,2,6,1,1
SENSE,15,2,7,1,1
SENSE,16,2,8,1,1
SENSE,17,2,9,1,1
SENSE,18,3,1,1,1
SENSE,19,3,2,1,1
SENSE,20,3,3,1,1
SENSE,21,3,4,1,1
SENSE,22,3,5,1,1
SENSE,23,3,6,1,1
SENSE,24,3,7,1,1
SENSE,25,3,8,1,1
SENSE,26,3,9,1,1
SENSE,27,4,1,1,1
SENSE,28,4,2,1,1
SENSE,29,4,3,1,1
SENSE,30,4,4,1,1
SENSE,31,4,5,1,1
SENSE,32,4,6,1,1
SENSE,33,4,7,1,1
SENSE,34,4,8,1,1
SENSE,35,4,9,1,1
SENSE,36,5,1,1,1
SENSE,37,5,2,1,1
SENSE,38,5,3,1,1
SENSE,39,5,4,1,1
SENSE,40,5,5,1,1
SENSE,41,5,6,1,1
SENSE,42,5,7,1,1
SENSE,43,5,8,1,1
SENSE,44,5,9,1,1
SENSE,45,6,1,1,1
SENSE,46,6,2,1,1
SENSE,47,6,3,1,1
SENSE,48,6,4,1,1
SENSE,49,6,5,1,1
SENSE,50,6,6,1,1
SENSE,51,6,7,1,1
SENSE,52,6,8,1,1
SENSE,53,6,9,1,1
SENSE,54,7,1,1,1
SENSE,55,7,2,1,1
SENSE,56,7,3,1,1
SENSE,57,7,4,1,1
SENSE,58,7,5,1,1
SENSE,59,7,6,1,1
SENSE,60,7,7,1,1
SENSE,61,7,8,1,1
SENSE,62,7,9,1,1
SENSE,63,8,1,1,1
SENSE,64,8,2,1,1
SENSE,65,8,3,1,1
SENSE,66,8,4,1,1
SENSE,67,8,5,1,1
SENSE,68,8,6,1,1
SENSE,69,8,7,1,1
SENSE,70,8,8,1,1
SENSE,71,8,9,1,1
SENSE,72,9,1,1,1
SENSE,73,9,2,1,1
SENSE,74,9,3,1,1
SENSE,75,9,4,1,1
SENSE,76,9,5,1,1
SENSE,77,9,6,1,1
SENSE,78,9,7,1,1
SENSE,79,9,8,1,1
SENSE,80,9,9,1,1
BASE,0,0,0,0,0
BASE,1,10,0,0,0
BASE,2,0,10,0,0
BASE,3,10,10,0,0
