type,id,x,y,z,value
SENSE,0,0.0,846.9732270996981,1.0,100
SENSE,1,0.0,912.1250137997356,1.0,886
SENSE,2,0.0,977.2768004997731,1.0,64
SENSE,3,0.0,1042.4285871998106,1.0,9579
SENSE,4,0.0,1107.5803738998482,1.0,3446
SENSE,5,0.0,1172.7321605998857,1.0,24
SENSE,6,0.0,1237.8839472999232,1.0,50
SENSE,7,55.22216699992262,1433.3393074000355,1.0,348
SENSE,8,55.22216699992262,1498.491094100073,1.0,920
SENSE,9,55.22216699992262,1563.6428808001106,1.0,1286
SENSE,10,55.22216699992262,1628.794667500148,1.0,4968
SENSE,11,55.22216699992262,1693.9464542001856,1.0,1204
SENSE,12,55.22216699992262,1759.0982409002231,1.0,6
SENSE,13,110.44433400023998,1368.187520699998,1.0,1766
SENSE,14,110.44433400023998,1433.3393074000355,1.0,1070
SENSE,15,110.44433400023998,1498.491094100073,1.0,289
SENSE,16,110.44433400023998,1563.6428808001106,1.0,2442
SENSE,17,110.44433400023998,1628.794667500148,1.0,2195
SENSE,18,110.44433400023998,1693.9464542001856,1.0,4460
SENSE,19,110.44433400023998,1759.0982409002231,1.0,1281
SENSE,20,165.6665010001626,0.0,1.0,65
SENSE,21,165.6665010001626,1303.0357339999607,1.0,963
SENSE,22,165.6665010001626,1368.187520699998,1.0,2224
SENSE,23,165.6665010001626,1433.3393074000355,1.0,311
SENSE,24,165.6665010001626,1498.491094100073,1.0,1123
SENSE,25,165.6665010001626,1563.6428808001106,1.0,1557
SENSE,26,165.6665010001626,1628.794667500148,1.0,2379
SENSE,27,165.6665010001626,1693.9464542001856,1.0,820
SENSE,28,165.6665010001626,1824.2500276002606,1.0,34
SENSE,29,165.6665010001626,1889.4018143002982,1.0,710
SENSE,30,220.8886680000852,0.0,1.0,373
SENSE,31,220.8886680000852,1237.8839472999232,1.0,262
SENSE,32,220.8886680000852,1303.0357339999607,1.0,3565
SENSE,33,220.8886680000852,1368.187520699998,1.0,714
SENSE,34,220.8886680000852,1433.3393074000355,1.0,319
SENSE,35,220.8886680000852,1498.491094100073,1.0,1716
SENSE,36,220.8886680000852,1563.6428808001106,1.0,2252
SENSE,37,220.8886680000852,1628.794667500148,1.0,655
SENSE,38,220.8886680000852,1693.9464542001856,1.0,27
SENSE,39,220.8886680000852,1759.0982409002231,1.0,169
SENSE,40,220.8886680000852,1824.2500276002606,1.0,1381
SENSE,41,220.8886680000852,1889.4018143002982,1.0,1363
SENSE,42,276.1108350004026,0.0,1.0,64
SENSE,43,276.1108350004026,1172.7321605998857,1.0,2
SENSE,44,276.1108350004026,1237.8839472999232,1.0,2907
SENSE,45,276.1108350004026,1303.0357339999607,1.0,1514
SENSE,46,276.1108350004026,1368.187520699998,1.0,882
SENSE,47,276.1108350004026,1433.3393074000355,1.0,2397
SENSE,48,276.1108350004026,1498.491094100073,1.0,2134
SENSE,49,276.1108350004026,1563.6428808001106,1.0,499
SENSE,50,276.1108350004026,1628.794667500148,1.0,430
SENSE,51,276.1108350004026,1693.9464542001856,1.0,333
SENSE,52,276.1108350004026,1759.0982409002231,1.0,1041
SENSE,53,276.1108350004026,1824.2500276002606,1.0,1151
SENSE,54,276.1108350004026,1889.4018143002982,1.0,462
SENSE,55,331.33300199993045,0.0,1.0,19
SENSE,56,331.33300199993045,1172.7321605998857,1.0,2572
SENSE,57,331.33300199993045,1237.8839472999232,1.0,2503
SENSE,58,331.33300199993045,1303.0357339999607,1.0,810
SENSE,59,331.33300199993045,1368.187520699998,1.0,1386
SENSE,60,331.33300199993045,1433.3393074000355,1.0,2535
SENSE,61,331.33300199993045,1498.491094100073,1.0,579
SENSE,62,331.33300199993045,1563.6428808001106,1.0,123
SENSE,63,331.33300199993045,1628.794667500148,1.0,2303
SENSE,64,331.33300199993045,1693.9464542001856,1.0,1736
SENSE,65,331.33300199993045,1759.0982409002231,1.0,1484
SENSE,66,331.33300199993045,1824.2500276002606,1.0,211
SENSE,67,331.33300199993045,1889.4018143002982,1.0,105
SENSE,68,386.5551689998531,0.0,1.0,34
SENSE,69,386.5551689998531,1042.4285871998106,1.0,29
SENSE,70,386.5551689998531,1107.5803738998482,1.0,761
SENSE,71,386.5551689998531,1172.7321605998857,1.0,4024
SENSE,72,386.5551689998531,1237.8839472999232,1.0,183
SENSE,73,386.5551689998531,1303.0357339999607,1.0,565
SENSE,74,386.5551689998531,1368.187520699998,1.0,3512
SENSE,75,386.5551689998531,1433.3393074000355,1.0,255
SENSE,76,386.5551689998531,1498.491094100073,1.0,391
SENSE,77,386.5551689998531,1563.6428808001106,1.0,951
SENSE,78,386.5551689998531,1628.794667500148,1.0,665
SENSE,79,386.5551689998531,1693.9464542001856,1.0,1788
SENSE,80,386.5551689998531,1759.0982409002231,1.0,727
SENSE,81,386.5551689998531,1824.2500276002606,1.0,323
SENSE,82,386.5551689998531,1889.4018143002982,1.0,76
SENSE,83,441.7773360001704,0.0,1.0,3
SENSE,84,441.7773360001704,977.2768004997731,1.0,2
SENSE,85,441.7773360001704,1042.4285871998106,1.0,1625
SENSE,86,441.7773360001704,1107.5803738998482,1.0,2693
SENSE,87,441.7773360001704,1172.7321605998857,1.0,114
SENSE,88,441.7773360001704,1237.8839472999232,1.0,668
SENSE,89,441.7773360001704,1303.0357339999607,1.0,5991
SENSE,90,441.7773360001704,1368.187520699998,1.0,181
SENSE,91,441.7773360001704,1433.3393074000355,1.0,187
SENSE,92,441.7773360001704,1498.491094100073,1.0,104
SENSE,93,441.7773360001704,1563.6428808001106,1.0,905
SENSE,94,441.7773360001704,1628.794667500148,1.0,2488
SENSE,95,441.7773360001704,1693.9464542001856,1.0,552
SENSE,96,441.7773360001704,1759.0982409002231,1.0,803
SENSE,97,441.7773360001704,1824.2500276002606,1.0,121
SENSE,98,441.7773360001704,1889.4018143002982,1.0,64
SENSE,99,496.99950300009306,912.1250137997356,1.0,53
SENSE,100,496.99950300009306,977.2768004997731,1.0,543
SENSE,101,496.99950300009306,1042.4285871998106,1.0,2673
SENSE,102,496.99950300009306,1107.5803738998482,1.0,511
SENSE,103,496.99950300009306,1172.7321605998857,1.0,631
SENSE,104,496.99950300009306,1237.8839472999232,1.0,5069
SENSE,105,496.99950300009306,1303.0357339999607,1.0,2254
SENSE,106,496.99950300009306,1368.187520699998,1.0,475
SENSE,107,496.99950300009306,1498.491094100073,1.0,160
SENSE,108,496.99950300009306,1563.6428808001106,1.0,3522
SENSE,109,496.99950300009306,1628.794667500148,1.0,154
SENSE,110,496.99950300009306,1693.9464542001856,1.0,59
SENSE,111,496.99950300009306,1759.0982409002231,1.0,9
SENSE,112,552.2216700000157,846.9732270996981,1.0,6
SENSE,113,552.2216700000157,912.1250137997356,1.0,640
SENSE,114,552.2216700000157,977.2768004997731,1.0,2850
SENSE,115,552.2216700000157,1042.4285871998106,1.0,556
SENSE,116,552.2216700000157,1107.5803738998482,1.0,293
SENSE,117,552.2216700000157,1172.7321605998857,1.0,3895
SENSE,118,552.2216700000157,1237.8839472999232,1.0,1301
SENSE,119,552.2216700000157,1303.0357339999607,1.0,286
SENSE,120,552.2216700000157,1368.187520699998,1.0,1647
SENSE,121,552.2216700000157,1433.3393074000355,1.0,192
SENSE,122,552.2216700000157,1498.491094100073,1.0,505
SENSE,123,552.2216700000157,1563.6428808001106,1.0,1454
SENSE,124,552.2216700000157,1628.794667500148,1.0,128
SENSE,125,552.2216700000157,1693.9464542001856,1.0,5
SENSE,126,607.4438369999383,781.8214403996606,1.0,26
SENSE,127,607.4438369999383,846.9732270996981,1.0,732
SENSE,128,607.4438369999383,912.1250137997356,1.0,3515
SENSE,129,607.4438369999383,977.2768004997731,1.0,4
SENSE,130,607.4438369999383,1042.4285871998106,1.0,31
SENSE,131,607.4438369999383,1107.5803738998482,1.0,3337
SENSE,132,607.4438369999383,1172.7321605998857,1.0,648
SENSE,133,607.4438369999383,1237.8839472999232,1.0,1371
SENSE,134,607.4438369999383,1303.0357339999607,1.0,1111
SENSE,135,607.4438369999383,1368.187520699998,1.0,889
SENSE,136,607.4438369999383,1433.3393074000355,1.0,1657
SENSE,137,607.4438369999383,1498.491094100073,1.0,1593
SENSE,138,607.4438369999383,1563.6428808001106,1.0,420
SENSE,139,607.4438369999383,1628.794667500148,1.0,1815
SENSE,140,607.4438369999383,1693.9464542001856,1.0,1558
SENSE,141,662.6660039998609,716.669653699623,1.0,15
SENSE,142,662.6660039998609,781.8214403996606,1.0,665
SENSE,143,662.6660039998609,846.9732270996981,1.0,5548
SENSE,144,662.6660039998609,912.1250137997356,1.0,197
SENSE,145,662.6660039998609,977.2768004997731,1.0,98
SENSE,146,662.6660039998609,1042.4285871998106,1.0,3682
SENSE,147,662.6660039998609,1107.5803738998482,1.0,1214
SENSE,148,662.6660039998609,1172.7321605998857,1.0,1350
SENSE,149,662.6660039998609,1237.8839472999232,1.0,886
SENSE,150,662.6660039998609,1303.0357339999607,1.0,291
SENSE,151,662.6660039998609,1368.187520699998,1.0,875
SENSE,152,662.6660039998609,1433.3393074000355,1.0,2687
SENSE,153,662.6660039998609,1498.491094100073,1.0,749
SENSE,154,662.6660039998609,1563.6428808001106,1.0,997
SENSE,155,662.6660039998609,1628.794667500148,1.0,2936
SENSE,156,662.6660039998609,1693.9464542001856,1.0,66
SENSE,157,717.8881710001783,521.2142936003,1.0,3
SENSE,158,717.8881710001783,586.366080299548,1.0,10
SENSE,159,717.8881710001783,651.5178670003751,1.0,263
SENSE,160,717.8881710001783,716.669653699623,1.0,3696
SENSE,161,717.8881710001783,781.8214403996606,1.0,6685
SENSE,162,717.8881710001783,846.9732270996981,1.0,125
SENSE,163,717.8881710001783,912.1250137997356,1.0,88
SENSE,164,717.8881710001783,977.2768004997731,1.0,3039
SENSE,165,717.8881710001783,1042.4285871998106,1.0,346
SENSE,166,717.8881710001783,1107.5803738998482,1.0,281
SENSE,167,717.8881710001783,1172.7321605998857,1.0,230
SENSE,168,717.8881710001783,1237.8839472999232,1.0,1796
SENSE,169,717.8881710001783,1303.0357339999607,1.0,2298
SENSE,170,717.8881710001783,1368.187520699998,1.0,3098
SENSE,171,717.8881710001783,1433.3393074000355,1.0,148
