type,id,x,y,z,value
SENSE,0,0.0,846.9732270996981,1.0,55
SENSE,1,0.0,912.1250137997356,1.0,405
SENSE,2,0.0,977.2768004997731,1.0,9
SENSE,3,0.0,1042.4285871998106,1.0,4890
SENSE,4,0.0,1107.5803738998482,1.0,1876
SENSE,5,0.0,1172.7321605998857,1.0,10
SENSE,6,0.0,1237.8839472999232,1.0,23
SENSE,7,55.16290780015118,1433.3393074000355,1.0,180
SENSE,8,55.16290780015118,1498.491094100073,1.0,440
SENSE,9,55.16290780015118,1563.6428808001106,1.0,572
SENSE,10,55.16290780015118,1628.794667500148,1.0,2588
SENSE,11,55.16290780015118,1693.9464542001856,1.0,689
SENSE,12,110.32581560030236,1368.187520699998,1.0,661
SENSE,13,110.32581560030236,1433.3393074000355,1.0,563
SENSE,14,110.32581560030236,1498.491094100073,1.0,102
SENSE,15,110.32581560030236,1563.6428808001106,1.0,1135
SENSE,16,110.32581560030236,1628.794667500148,1.0,1193
SENSE,17,110.32581560030236,1693.9464542001856,1.0,2096
SENSE,18,110.32581560030236,1759.0982409002231,1.0,675
SENSE,19,165.4887234000588,0.0,1.0,23
SENSE,20,165.4887234000588,1303.0357339999607,1.0,330
SENSE,21,165.4887234000588,1368.187520699998,1.0,1160
SENSE,22,165.4887234000588,1433.3393074000355,1.0,229
SENSE,23,165.4887234000588,1498.491094100073,1.0,516
SENSE,24,165.4887234000588,1563.6428808001106,1.0,730
SENSE,25,165.4887234000588,1628.794667500148,1.0,1121
SENSE,26,165.4887234000588,1693.9464542001856,1.0,383
SENSE,27,165.4887234000588,1824.2500276002606,1.0,11
SENSE,28,165.4887234000588,1889.4018143002982,1.0,354
SENSE,29,220.65163120020998,0.0,1.0,205
SENSE,30,220.65163120020998,1237.8839472999232,1.0,43
SENSE,31,220.65163120020998,1303.0357339999607,1.0,1569
SENSE,32,220.65163120020998,1368.187520699998,1.0,484
SENSE,33,220.65163120020998,1433.3393074000355,1.0,153
SENSE,34,220.65163120020998,1498.491094100073,1.0,791
SENSE,35,220.65163120020998,1563.6428808001106,1.0,969
