type,id,x,y,z,value
SENSE,0,0.0,846.9732270996981,1.0,60
SENSE,1,0.0,912.1250137997356,1.0,419
SENSE,2,0.0,977.2768004997731,1.0,14
SENSE,3,0.0,1042.4285871998106,1.0,5579
SENSE,4,0.0,1107.5803738998482,1.0,1772
SENSE,5,0.0,1172.7321605998857,1.0,14
SENSE,6,0.0,1237.8839472999232,1.0,30
SENSE,7,55.22216699992262,1433.3393074000355,1.0,196
SENSE,8,55.22216699992262,1498.491094100073,1.0,465
SENSE,9,55.22216699992262,1563.6428808001106,1.0,618
SENSE,10,55.22216699992262,1628.794667500148,1.0,2660
SENSE,11,55.22216699992262,1693.9464542001856,1.0,691
SENSE,12,110.44433400023998,1368.187520699998,1.0,816
SENSE,13,110.44433400023998,1433.3393074000355,1.0,566
SENSE,14,110.44433400023998,1498.491094100073,1.0,120
SENSE,15,110.44433400023998,1563.6428808001106,1.0,1206
SENSE,16,110.44433400023998,1628.794667500148,1.0,1221
SENSE,17,110.44433400023998,1693.9464542001856,1.0,2267
SENSE,18,110.44433400023998,1759.0982409002231,1.0,636
SENSE,19,165.6665010001626,0.0,1.0,27
SENSE,20,165.6665010001626,1303.0357339999607,1.0,421
SENSE,21,165.6665010001626,1368.187520699998,1.0,1300
SENSE,22,165.6665010001626,1433.3393074000355,1.0,229
SENSE,23,165.6665010001626,1498.491094100073,1.0,558
SENSE,24,165.6665010001626,1563.6428808001106,1.0,729
SENSE,25,165.6665010001626,1628.794667500148,1.0,1224
SENSE,26,165.6665010001626,1693.9464542001856,1.0,374
SENSE,27,165.6665010001626,1824.2500276002606,1.0,14
SENSE,28,165.6665010001626,1889.4018143002982,1.0,381
SENSE,29,220.8886680000852,0.0,1.0,231
SENSE,30,220.8886680000852,1237.8839472999232,1.0,94
SENSE,31,220.8886680000852,1303.0357339999607,1.0,1844
SENSE,32,220.8886680000852,1368.187520699998,1.0,525
SENSE,33,220.8886680000852,1433.3393074000355,1.0,186
SENSE,34,220.8886680000852,1498.491094100073,1.0,817
SENSE,35,220.8886680000852,1563.6428808001106,1.0,1050
SENSE,36,220.8886680000852,1628.794667500148,1.0,332
SENSE,37,220.8886680000852,1693.9464542001856,1.0,4
SENSE,38,220.8886680000852,1759.0982409002231,1.0,86
SENSE,39,220.8886680000852,1824.2500276002606,1.0,744
SENSE,40,220.8886680000852,1889.4018143002982,1.0,676
SENSE,41,276.1108350004026,0.0,1.0,50
SENSE,42,276.1108350004026,1237.8839472999232,1.0,1544
SENSE,43,276.1108350004026,1303.0357339999607,1.0,1002
SENSE,44,276.1108350004026,1368.187520699998,1.0,497
SENSE,45,276.1108350004026,1433.3393074000355,1.0,1125
SENSE,46,276.1108350004026,1498.491094100073,1.0,867
SENSE,47,276.1108350004026,1563.6428808001106,1.0,217
SENSE,48,276.1108350004026,1628.794667500148,1.0,234
SENSE,49,276.1108350004026,1693.9464542001856,1.0,138
SENSE,50,276.1108350004026,1759.0982409002231,1.0,532
SENSE,51,276.1108350004026,1824.2500276002606,1.0,569
SENSE,52,276.1108350004026,1889.4018143002982,1.0,258
SENSE,53,331.33300199993045,0.0,1.0,12
SENSE,54,331.33300199993045,1172.7321605998857,1.0,1354
SENSE,55,331.33300199993045,1237.8839472999232,1.0,1506
SENSE,56,331.33300199993045,1303.0357339999607,1.0,380
SENSE,57,331.33300199993045,1368.187520699998,1.0,618
SENSE,58,331.33300199993045,1433.3393074000355,1.0,1105
SENSE,59,331.33300199993045,1498.491094100073,1.0,217
SENSE,60,331.33300199993045,1563.6428808001106,1.0,17
SENSE,61,331.33300199993045,1628.794667500148,1.0,1321
SENSE,62,331.33300199993045,1693.9464542001856,1.0,886
SENSE,63,331.33300199993045,1759.0982409002231,1.0,804
SENSE,64,331.33300199993045,1824.2500276002606,1.0,99
SENSE,65,331.33300199993045,1889.4018143002982,1.0,42
SENSE,66,386.5551689998531,0.0,1.0,16
SENSE,67,386.5551689998531,1042.4285871998106,1.0,10
SENSE,68,386.5551689998531,1107.5803738998482,1.0,341
SENSE,69,386.5551689998531,1172.7321605998857,1.0,2156
SENSE,70,386.5551689998531,1237.8839472999232,1.0,47
SENSE,71,386.5551689998531,1303.0357339999607,1.0,256
SENSE,72,386.5551689998531,1368.187520699998,1.0,1732
SENSE,73,386.5551689998531,1433.3393074000355,1.0,124
SENSE,74,386.5551689998531,1498.491094100073,1.0,213
SENSE,75,386.5551689998531,1563.6428808001106,1.0,555
SENSE,76,386.5551689998531,1628.794667500148,1.0,366
SENSE,77,386.5551689998531,1693.9464542001856,1.0,986
SENSE,78,386.5551689998531,1759.0982409002231,1.0,588
SENSE,79,386.5551689998531,1824.2500276002606,1.0,164
SENSE,80,386.5551689998531,1889.4018143002982,1.0,38
SENSE,81,441.7773360001704,0.0,1.0,1
SENSE,82,441.7773360001704,977.2768004997731,1.0,1
SENSE,83,441.7773360001704,1042.4285871998106,1.0,804
