type,id,x,y,z,value
SENSE,0,0.0,846.9732270996981,1.0,100
SENSE,1,0.0,912.1250137997356,1.0,726
SENSE,2,0.0,977.2768004997731,1.0,52
SENSE,3,0.0,1042.4285871998106,1.0,8221
SENSE,4,0.0,1107.5803738998482,1.0,3091
SENSE,5,0.0,1172.7321605998857,1.0,20
SENSE,6,0.0,1237.8839472999232,1.0,45
SENSE,7,55.22216699992262,1433.3393074000355,1.0,286
SENSE,8,55.22216699992262,1498.491094100073,1.0,707
SENSE,9,55.22216699992262,1563.6428808001106,1.0,995
SENSE,10,55.22216699992262,1628.794667500148,1.0,4313
SENSE,11,55.22216699992262,1693.9464542001856,1.0,1072
SENSE,12,55.22216699992262,1759.0982409002231,1.0,6
SENSE,13,110.44433400023998,1368.187520699998,1.0,1551
SENSE,14,110.44433400023998,1433.3393074000355,1.0,961
SENSE,15,110.44433400023998,1498.491094100073,1.0,270
SENSE,16,110.44433400023998,1563.6428808001106,1.0,2150
SENSE,17,110.44433400023998,1628.794667500148,1.0,1949
SENSE,18,110.44433400023998,1693.9464542001856,1.0,3727
SENSE,19,110.44433400023998,1759.0982409002231,1.0,1011
SENSE,20,165.6665010001626,0.0,1.0,48
SENSE,21,165.6665010001626,1303.0357339999607,1.0,856
SENSE,22,165.6665010001626,1368.187520699998,1.0,1963
SENSE,23,165.6665010001626,1433.3393074000355,1.0,268
SENSE,24,165.6665010001626,1498.491094100073,1.0,1020
SENSE,25,165.6665010001626,1563.6428808001106,1.0,1354
SENSE,26,165.6665010001626,1628.794667500148,1.0,2068
SENSE,27,165.6665010001626,1693.9464542001856,1.0,663
SENSE,28,165.6665010001626,1824.2500276002606,1.0,17
SENSE,29,165.6665010001626,1889.4018143002982,1.0,540
SENSE,30,220.8886680000852,0.0,1.0,336
SENSE,31,220.8886680000852,1237.8839472999232,1.0,221
SENSE,32,220.8886680000852,1303.0357339999607,1.0,3040
SENSE,33,220.8886680000852,1368.187520699998,1.0,598
SENSE,34,220.8886680000852,1433.3393074000355,1.0,293
SENSE,35,220.8886680000852,1498.491094100073,1.0,1524
SENSE,36,220.8886680000852,1563.6428808001106,1.0,1900
SENSE,37,220.8886680000852,1628.794667500148,1.0,545
SENSE,38,220.8886680000852,1693.9464542001856,1.0,20
SENSE,39,220.8886680000852,1759.0982409002231,1.0,100
SENSE,40,220.8886680000852,1824.2500276002606,1.0,1127
SENSE,41,220.8886680000852,1889.4018143002982,1.0,1136
SENSE,42,276.1108350004026,0.0,1.0,64
SENSE,43,276.1108350004026,1172.7321605998857,1.0,2
SENSE,44,276.1108350004026,1237.8839472999232,1.0,2566
SENSE,45,276.1108350004026,1303.0357339999607,1.0,1198
SENSE,46,276.1108350004026,1368.187520699998,1.0,661
SENSE,47,276.1108350004026,1433.3393074000355,1.0,2090
SENSE,48,276.1108350004026,1498.491094100073,1.0,1846
SENSE,49,276.1108350004026,1563.6428808001106,1.0,412
SENSE,50,276.1108350004026,1628.794667500148,1.0,334
SENSE,51,276.1108350004026,1693.9464542001856,1.0,237
SENSE,52,276.1108350004026,1759.0982409002231,1.0,859
SENSE,53,276.1108350004026,1824.2500276002606,1.0,929
SENSE,54,276.1108350004026,1889.4018143002982,1.0,391
SENSE,55,331.33300199993045,0.0,1.0,16
SENSE,56,331.33300199993045,1172.7321605998857,1.0,2219
SENSE,57,331.33300199993045,1237.8839472999232,1.0,2064
SENSE,58,331.33300199993045,1303.0357339999607,1.0,641
SENSE,59,331.33300199993045,1368.187520699998,1.0,1271
SENSE,60,331.33300199993045,1433.3393074000355,1.0,2187
SENSE,61,331.33300199993045,1498.491094100073,1.0,442
SENSE,62,331.33300199993045,1563.6428808001106,1.0,117
SENSE,63,331.33300199993045,1628.794667500148,1.0,1876
SENSE,64,331.33300199993045,1693.9464542001856,1.0,1451
SENSE,65,331.33300199993045,1759.0982409002231,1.0,1251
SENSE,66,331.33300199993045,1824.2500276002606,1.0,173
SENSE,67,331.33300199993045,1889.4018143002982,1.0,96
SENSE,68,386.5551689998531,0.0,1.0,34
SENSE,69,386.5551689998531,1042.4285871998106,1.0,27
SENSE,70,386.5551689998531,1107.5803738998482,1.0,656
SENSE,71,386.5551689998531,1172.7321605998857,1.0,3414
SENSE,72,386.5551689998531,1237.8839472999232,1.0,177
SENSE,73,386.5551689998531,1303.0357339999607,1.0,522
SENSE,74,386.5551689998531,1368.187520699998,1.0,3087
SENSE,75,386.5551689998531,1433.3393074000355,1.0,207
SENSE,76,386.5551689998531,1498.491094100073,1.0,279
SENSE,77,386.5551689998531,1563.6428808001106,1.0,692
SENSE,78,386.5551689998531,1628.794667500148,1.0,537
SENSE,79,386.5551689998531,1693.9464542001856,1.0,1486
SENSE,80,386.5551689998531,1759.0982409002231,1.0,653
SENSE,81,386.5551689998531,1824.2500276002606,1.0,253
SENSE,82,386.5551689998531,1889.4018143002982,1.0,65
SENSE,83,441.7773360001704,0.0,1.0,1
SENSE,84,441.7773360001704,977.2768004997731,1.0,1
SENSE,85,441.7773360001704,1042.4285871998106,1.0,1392
SENSE,86,441.7773360001704,1107.5803738998482,1.0,2349
SENSE,87,441.7773360001704,1172.7321605998857,1.0,106
SENSE,88,441.7773360001704,1237.8839472999232,1.0,625
SENSE,89,441.7773360001704,1303.0357339999607,1.0,5089
SENSE,90,441.7773360001704,1368.187520699998,1.0,157
SENSE,91,441.7773360001704,1433.3393074000355,1.0,133
SENSE,92,441.7773360001704,1498.491094100073,1.0,82
SENSE,93,441.7773360001704,1563.6428808001106,1.0,696
SENSE,94,441.7773360001704,1628.794667500148,1.0,2010
SENSE,95,441.7773360001704,1693.9464542001856,1.0,478
SENSE,96,441.7773360001704,1759.0982409002231,1.0,687
