type,id,x,y,z,value
SENSE,0,1317.887570999964,339.4441050003734,1,23
SENSE,1,1183.0543725001146,232.1664344996385,1,54
SENSE,2,849.8324834998214,635.4993644997644,1,60
SENSE,3,1146.8877419998455,735.8325974998739,1,42
SENSE,4,609.5549460001347,966.3879224996326,1,75
SENSE,5,597.166069499834,1203.8876850000167,1,82
SENSE,6,782.4436620002213,1677.164989500396,1,52
SENSE,7,1101.7766760000534,1727.2760505001963,1,48
SENSE,8,343.6107674997222,1271.6098394995647,1,41
SENSE,9,426.4440179998035,927.6657389994999,1,54
BASE,0,-30.0,-30.0,0,0
BASE,1,1558.1910643997737,-30.0,0,0
BASE,2,-30.0,1880.3055571000045,0,0
BASE,3,1558.1910643997737,1880.3055571000045,0,0
