type,id,x,y,z,value
SENSE,0,1418.1096929999596,365.4996345001173,1,746
SENSE,1,1190.665476000241,245.61086549964273,1,2172
SENSE,2,848.2213740003364,643.1104680002854,1,2132
SENSE,3,1165.8321675001744,816.2214059998109,1,1612
SENSE,4,638.3882504999708,995.7767820004345,1,2365
SENSE,5,633.7215885003053,1225.5543299997885,1,2849
SENSE,6,774.4436700002873,1698.776079000308,1,2688
SENSE,7,1083.6655830003838,1740.83159249992,1,2516
SENSE,8,353.9440905000811,1294.8320385001462,1,1989
SENSE,9,428.6106825002544,971.6101394998692,1,1864
BASE,0,-30.0,-30.0,0,0
BASE,1,1631.4428430001244,-30.0,0,0
BASE,2,-30.0,1919.4018143002982,0,0
BASE,3,1631.4428430001244,1919.4018143002982,0,0
