type,id,x,y,z,value
SENSE,0,1416.0541395000175,365.4996345001173,1,922
SENSE,1,1191.9432525001728,245.61086549964273,1,2580
SENSE,2,848.2213740003364,643.1104680002854,1,2495
SENSE,3,1165.8321675001744,816.2214059998109,1,1978
SENSE,4,644.3882445002173,995.7767820004345,1,2765
SENSE,5,633.7215885003053,1225.5543299997885,1,3273
SENSE,6,775.7214465002191,1700.498299500697,1,3066
SENSE,7,1083.6655830003838,1740.83159249992,1,2880
SENSE,8,353.9440905000811,1296.3875925001662,1,2270
SENSE,9,428.6106825002544,971.6101394998692,1,2175
BASE,0,-30.0,-30.0,0,0
BASE,1,1631.4428430001244,-30.0,0,0
BASE,2,-30.0,1919.4018143002982,0,0
BASE,3,1631.4428430001244,1919.4018143002982,0,0
