Strategy,n_drones,Plan,Sensing Mismatch %,Total Collisions,Cross Collisions,Parallel Collisions,Cell Occupied Collisions,Total Flights Distance,Total Collision Distance,Risk of Collision,Total Duration of Flights,Total Hover Duration,Number of Flights,Average Collisions per Flight
no_ca,1,"[[[[0.0, 0.0], 1], [[2.0, 1.0], 1], [[4.0, 1.0], 1], [[0.0, 0.0], 1]]]",99.6,0,0,0,0,8.359,0,0,8.5,4,3,0
pf_ca,1,"[[[[0.0, 0.0], 1.0], [[0.231, 0.097], 0.0], [[0.438, 0.237], 0.0], [[0.649, 0.371], 0.0], [[0.872, 0.482], 0.0], [[1.101, 0.583], 0.0], [[1.327, 0.69], 0.0], [[1.553, 0.797], 0.0], [[1.78, 0.902], 0.0], [[2.0, 1.0], 1.0], [[2.25, 0.986], 0.0], [[2.489, 1.059], 0.0], [[2.739, 1.062], 0.0], [[2.985, 1.022], 0.0], [[3.229, 1.079], 0.0], [[3.476, 1.042], 0.0], [[3.723, 1.001], 0.0], [[3.967, 1.056], 0.0], [[4.0, 1.0], 1.0], [[3.75, 1.01], 0.0], [[3.521, 0.912], 0.0], [[3.275, 0.863], 0.0], [[3.026, 0.839], 0.0], [[2.78, 0.797], 0.0], [[2.541, 0.724], 0.0], [[2.292, 0.699], 0.0], [[2.054, 0.622], 0.0], [[1.827, 0.518], 0.0], [[1.592, 0.432], 0.0], [[1.352, 0.364], 0.0], [[1.106, 0.318], 0.0], [[0.878, 0.214], 0.0], [[0.637, 0.149], 0.0], [[0.395, 0.088], 0.0], [[0.145, 0.1], 0.0], [[0.0, 0.0], 1]]]",99.6,0,0,0,0,8.482,0,0,8.75,4,35,0
basic_ca,1,"[[[[0.0, 0.0], 1], [[2.0, 1.0], 1], [[4.0, 1.0], 1], [[0.0, 0.0], 1]]]",99.6,0,0,0,0,8.359,0,0,8.5,4,3,0
,,,,,,,,,,,,,,
no_ca,2,"[[[[0.0, 0.0], 2]], [[[11.0, 0.0], 2]]]",100,0,0,0,0,0,0,0,0,4,0,0
pf_ca,2,"[[[[0.0, 0.0], 2]], [[[11.0, 0.0], 2]]]",100,0,0,0,0,0,0,0,0,4,0,0
basic_ca,2,"[[[[0.0, 0.0], 2]], [[[11.0, 0.0], 2]]]",100,0,0,0,0,0,0,0,0,4,0,0
,,,,,,,,,,,,,,
no_ca,3,"[[[[0.0, 0.0], 2]], [[[11.0, 0.0], 2]], [[[0.0, 11.0], 2]]]",100,0,0,0,0,0,0,0,0,6,0,0
pf_ca,3,"[[[[0.0, 0.0], 2]], [[[11.0, 0.0], 2]], [[[0.0, 11.0], 2]]]",100,0,0,0,0,0,0,0,0,6,0,0
basic_ca,3,"[[[[0.0, 0.0], 2]], [[[11.0, 0.0], 2]], [[[0.0, 11.0], 2]]]",100,0,0,0,0,0,0,0,0,6,0,0
,,,,,,,,,,,,,,
no_ca,4,"[[[[0.0, 0.0], 1], [[2.0, 1.0], 1], [[5.0, 4.0], 1], [[5.0, 5.0], 1], [[5.0, 3.0], 1], [[0.0, 0.0], 1]], [[[11.0, 0.0], 1], [[5.0, 4.0], 1], [[8.0, 1.0], 1], [[5.0, 3.0], 1], [[11.0, 0.0], 1]], [[[0.0, 11.0], 1], [[1.0, 8.0], 1], [[6.0, 7.0], 1], [[0.0, 11.0], 1]], [[[11.0, 11.0], 1], [[6.0, 7.0], 1], [[10.0, 9.0], 1], [[11.0, 11.0], 1]]]",97.69,3,2,0,1,65.661,1.25,0.019,66.5,19,15,0.2
