Strategy,n_drones,Plan,Sensing Mismatch %,Total Collisions,Cross Collisions,Parallel_Collisions,Cell Occupied Collisions,Total Flights Distance,Total Collision Distance,Risk of Collision,Total Duration of Flights,Number of Flights,Average Collisions per Flight
no_ca,1,"[[[[5.5, 0.0], 2]]]",100.0,0,0,0,0,0,0,0,0,0,0
pf_ca,1,"[[[[5.5, 0.0], 2]]]",100.0,0,0,0,0,0,0,0,0,0,0
basic_ca,1,"[[[[5.5, 0.0], 2]]]",100.0,0,0,0,0,0,0,0,0,0,0

no_ca,2,"[[[[5.5, 0.0], 2]], [[[0.0, 5.5], 2]]]",100.0,0,0,0,0,0,0,0,0,0,0
pf_ca,2,"[[[[5.5, 0.0], 2]], [[[0.0, 5.5], 2]]]",100.0,0,0,0,0,0,0,0,0,0,0
basic_ca,2,"[[[[5.5, 0.0], 2]], [[[0.0, 5.5], 2]]]",100.0,0,0,0,0,0,0,0,0,0,0

no_ca,3,"[[[[5.5, 0.0], 2]], [[[0.0, 5.5], 2]], [[[11.0, 5.5], 2]]]",100.0,0,0,0,0,0,0,0,0,0,0
pf_ca,3,"[[[[5.5, 0.0], 2]], [[[0.0, 5.5], 2]], [[[11.0, 5.5], 2]]]",100.0,0,0,0,0,0,0,0,0,0,0
basic_ca,3,"[[[[5.5, 0.0], 2]], [[[0.0, 5.5], 2]], [[[11.0, 5.5], 2]]]",100.0,0,0,0,0,0,0,0,0,0,0

no_ca,4,"[[[[5.5, 0.0], 2]], [[[0.0, 5.5], 2]], [[[11.0, 5.5], 1], [[9.0, 8.0], 19], [[11.0, 5.5], 1]], [[[5.5, 11.0], 2]]]",100.57,0,0,0,0,6.403,0,0.0,7.0,2,0.0
pf_ca,4,"[[[[5.5, 0.0], 2]], [[[0.0, 5.5], 2]], [[[11.0, 5.5], 1.0], [[10.703, 5.902], 0.0], [[10.38, 6.284], 0.0], [[10.081, 6.684], 0.0], [[9.74, 7.05], 0.0], [[9.419, 7.434], 0.0], [[9.089, 7.809], 0.0], [[9.0, 8.0], 19.0], [[9.348, 7.641], 0.0], [[9.591, 7.204], 0.0], [[9.9, 6.811], 0.0], [[10.134, 6.369], 0.0], [[10.391, 5.94], 0.0], [[10.715, 5.56], 0.0], [[11.0, 5.5], 1]], [[[5.5, 11.0], 2]]]",100.57,0,0,0,0,6.501,0,0.0,7.0,14,0.0
basic_ca,4,"[[[[5.5, 0.0], 2]], [[[0.0, 5.5], 2]], [[[11.0, 5.5], 1], [[9.0, 8.0], 19], [[11.0, 5.5], 1]], [[[5.5, 11.0], 2]]]",100.57,0,0,0,0,6.403,0,0.0,7.0,2,0.0

