Strategy,n_drones,Plan,Sensing Mismatch %,Total Collisions,Cross Collisions,Parallel_Collisions,Cell Occupied Collisions,Total Flights Distance,Total Collision Distance,Risk of Collision,Total Duration of Flights,Number of Flights,Average Collisions per Flight
no_ca,1,"[[[[-0.8299, -0.47], 1], [[-0.5533, -0.235], 10], [[-0.5533, 0.235], 7], [[0.0, 0.235], 6], [[0.0, -0.235], 3], [[0.5533, 0.235], 3], [[-0.8299, -0.47], 1]]]",19.44,0,0,0,0,4.135,0,0.0,5.5,6,0.0
pf_ca,1,"[[[[-0.83, -0.47], 1.0], [[-0.553, -0.235], 10.0], [[-0.553, 0.235], 7.0], [[-0.689, 0.716], 0.0], [[-0.305, 0.396], 0.0], [[0.0, 0.235], 6.0], [[0.0, -0.235], 3.0], [[0.398, 0.067], 0.0], [[0.553, 0.235], 3.0], [[0.081, 0.07], 0.0], [[-0.31, -0.242], 0.0], [[-0.783, -0.404], 0.0], [[-0.83, -0.47], 1]]]",19.44,0,0,0,0,4.957,0,0.0,6.0,12,0.0
basic_ca,1,"[[[[-0.8299, -0.47], 1], [[-0.5533, -0.235], 10], [[-0.5533, 0.235], 7], [[0.0, 0.235], 6], [[0.0, -0.235], 3], [[0.5533, 0.235], 3], [[-0.8299, -0.47], 1]]]",19.44,0,0,0,0,4.135,0,0.0,5.5,6,0.0

no_ca,2,"[[[[-0.8299, -0.47], 1], [[-0.5533, -0.235], 4], [[-0.5533, 0.235], 8], [[0.0, 0.235], 7], [[0.0, -0.235], 7], [[0.5533, 0.235], 1], [[-0.8299, -0.47], 1]], [[[0.8299, -0.47], 1], [[0.0, 0.235], 1], [[0.0, -0.235], 1], [[-0.5533, 0.235], 1], [[0.8299, -0.47], 1]]]",23.08,3,1,0,2,7.972,3.0,0.376,10.5,10,0.3
pf_ca,2,"[[[[-0.83, -0.47], 1.0], [[-0.553, -0.235], 4.0], [[-0.553, 0.235], 8.0], [[-0.879, 0.614], 0.0], [[-1.091, 1.067], 0.0], [[-0.699, 0.757], 0.0], [[-0.912, 1.209], 0.0], [[-0.567, 0.847], 0.0], [[-0.286, 0.434], 0.0], [[0.0, 0.235], 7.0], [[0.0, -0.235], 7.0], [[-0.388, 0.081], 0.0], [[0.111, 0.109], 0.0], [[0.553, 0.235], 1.0], [[0.193, 0.582], 0.0], [[-0.163, 0.231], 0.0], [[-0.57, -0.06], 0.0], [[-0.83, -0.47], 1]], [[[0.83, -0.47], 1.0], [[0.437, -0.16], 0.0], [[-0.009, 0.064], 0.0], [[0.0, 0.235], 1.0], [[0.0, -0.235], 1.0], [[0.5, -0.253], 0.0], [[0.03, -0.081], 0.0], [[0.443, -0.364], 0.0], [[0.042, -0.065], 0.0], [[0.46, -0.339], 0.0], [[0.072, -0.024], 0.0], [[0.55, -0.17], 0.0], [[0.054, -0.104], 0.0], [[0.451, -0.408], 0.0], [[0.035, -0.131], 0.0], [[0.447, -0.415], 0.0], [[-0.001, -0.193], 0.0], [[0.41, -0.478], 0.0], [[-0.004, -0.196], 0.0], [[0.308, -0.587], 0.0], [[-0.096, -0.293], 0.0], [[0.229, -0.672], 0.0], [[-0.131, -0.325], 0.0], [[-0.408, 0.091], 0.0], [[-0.553, 0.235], 1.0], [[-0.446, -0.253], 0.0], [[-0.459, -0.753], 0.0], [[0.029, -0.645], 0.0], [[0.189, -1.118], 0.0], [[0.547, -0.769], 0.0], [[0.83, -0.47], 1]]]",23.08,0,0,0,0,22.354,0,0.0,23.5,47,0.0
basic_ca,2,"[[[[-0.8299, -0.47], 1], [[-0.5533, -0.235], 4], [[-0.5533, 0.235], 17.0], [[0.0, 0.235], 7], [[0.0, -0.235], 7], [[0.5533, 0.235], 1], [[-0.8299, -0.47], 1]], [[[0.8299, -0.47], 1], [[0.0, 0.235], 1], [[0.0, -0.235], 19.0], [[-0.5533, 0.235], 1], [[0.8299, -0.47], 1]]]",87.18,1,1,0,0,7.972,1.0,0.125,10.5,10,0.1

no_ca,3,"[[[[-0.8299, -0.47], 1], [[-0.5533, -0.235], 3], [[-0.5533, 0.235], 3], [[0.0, 0.235], 3], [[0.0, -0.235], 2], [[0.5533, 0.235], 1], [[-0.8299, -0.47], 1]], [[[0.8299, -0.47], 1], [[0.5533, 0.235], 3], [[0.0, 0.235], 7], [[0.0, -0.235], 4], [[-0.5533, -0.235], 7], [[-0.5533, 0.235], 7], [[0.8299, -0.47], 1]], [[[0.8299, 0.47], 2]]]",6.98,3,1,0,2,8.491,4.0,0.471,11.5,12,0.25
pf_ca,3,"[[[[-0.83, -0.47], 1.0], [[-0.553, -0.235], 3.0], [[-0.553, 0.235], 3.0], [[-1.051, 0.188], 0.0], [[-0.553, 0.148], 0.0], [[-1.051, 0.106], 0.0], [[-0.552, 0.074], 0.0], [[-1.052, 0.055], 0.0], [[-0.568, 0.18], 0.0], [[-1.067, 0.157], 0.0], [[-0.567, 0.162], 0.0], [[-1.066, 0.122], 0.0], [[-0.566, 0.1], 0.0], [[-1.064, 0.054], 0.0], [[-0.571, 0.136], 0.0], [[-0.964, 0.446], 0.0], [[-0.469, 0.376], 0.0], [[0.0, 0.235], 3.0], [[0.0, -0.235], 2.0], [[0.5, -0.253], 0.0], [[0.553, 0.235], 1.0], [[0.197, -0.116], 0.0], [[0.143, -0.613], 0.0], [[0.559, -0.891], 0.0], [[0.063, -0.824], 0.0], [[0.369, -1.22], 0.0], [[-0.045, -0.939], 0.0], [[0.171, -1.39], 0.0], [[-0.154, -1.01], 0.0], [[-0.541, -0.694], 0.0], [[-0.83, -0.47], 1]], [[[0.83, -0.47], 1.0], [[0.664, 0.002], 0.0], [[0.553, 0.235], 3.0], [[0.186, -0.104], 0.0], [[0.0, 0.235], 7.0], [[0.0, -0.235], 4.0], [[-0.054, -0.732], 0.0], [[-0.361, -0.338], 0.0], [[-0.553, -0.235], 7.0], [[-0.553, 0.235], 7.0], [[-0.23, 0.617], 0.0], [[0.037, 0.194], 0.0], [[-0.334, -0.14], 0.0], [[0.112, 0.085], 0.0], [[-0.256, -0.254], 0.0], [[0.233, -0.148], 0.0], [[-0.004, -0.588], 0.0], [[0.493, -0.643], 0.0], [[0.83, -0.47], 1]], [[[0.8299, 0.47], 2]]]",6.98,0,0,0,0,22.832,0,0.0,24.0,48,0.0
basic_ca,3,"[[[[-0.8299, -0.47], 1], [[-0.5533, -0.235], 3], [[-0.5533, 0.235], 9.0], [[0.0, 0.235], 3], [[0.0, -0.235], 2], [[0.5533, 0.235], 1], [[-0.8299, -0.47], 1]], [[[0.8299, -0.47], 1], [[0.5533, 0.235], 3], [[0.0, 0.235], 7], [[0.0, -0.235], 4], [[-0.5533, -0.235], 7], [[-0.5533, 0.235], 7], [[0.8299, -0.47], 1]], [[[0.8299, 0.47], 2]]]",20.93,0,0,0,0,8.491,0,0.0,11.5,12,0.0

no_ca,4,"[[[[-0.8299, -0.47], 2]], [[[0.8299, -0.47], 1], [[0.5533, 0.235], 1], [[0.0, 0.235], 3], [[0.0, -0.235], 1], [[-0.5533, -0.235], 5], [[-0.5533, 0.235], 8], [[0.8299, -0.47], 1]], [[[0.8299, 0.47], 2]], [[[-0.8299, 0.47], 2]]]",20.0,0,0,0,0,4.356,0,0.0,6.0,6,0.0
pf_ca,4,"[[[[-0.8299, -0.47], 2]], [[[0.83, -0.47], 1.0], [[0.601, -0.026], 0.0], [[0.553, 0.235], 1.0], [[0.196, -0.115], 0.0], [[0.0, 0.235], 3.0], [[0.0, -0.235], 1.0], [[0.49, -0.133], 0.0], [[0.146, -0.496], 0.0], [[-0.32, -0.314], 0.0], [[-0.553, -0.235], 5.0], [[-0.553, 0.235], 8.0], [[-0.056, 0.183], 0.0], [[0.171, -0.262], 0.0], [[0.647, -0.416], 0.0], [[0.83, -0.47], 1]], [[[0.8299, 0.47], 2]], [[[-0.8299, 0.47], 2]]]",20.0,0,0,0,0,6.043,0,0.0,7.0,14,0.0
basic_ca,4,"[[[[-0.8299, -0.47], 2]], [[[0.8299, -0.47], 1], [[0.5533, 0.235], 1], [[0.0, 0.235], 3], [[0.0, -0.235], 1], [[-0.5533, -0.235], 5], [[-0.5533, 0.235], 8], [[0.8299, -0.47], 1]], [[[0.8299, 0.47], 2]], [[[-0.8299, 0.47], 2]]]",20.0,0,0,0,0,4.356,0,0.0,6.0,6,0.0

no_ca,1,"[[[[-0.8299, -0.47], 1], [[-0.5533, -0.235], 5], [[-0.5533, 0.235], 5], [[0.0, 0.235], 6], [[0.0, -0.235], 3], [[0.5533, 0.235], 7], [[-0.8299, -0.47], 1]]]",40.91,0,0,0,0,4.135,0,0.0,5.5,6,0.0
pf_ca,1,"[[[[-0.83, -0.47], 1.0], [[-0.553, -0.235], 5.0], [[-0.553, 0.235], 5.0], [[-0.214, 0.602], 0.0], [[0.0, 0.235], 6.0], [[0.0, -0.235], 3.0], [[0.395, 0.072], 0.0], [[0.553, 0.235], 7.0], [[0.116, -0.007], 0.0], [[-0.316, -0.259], 0.0], [[-0.801, -0.382], 0.0], [[-0.83, -0.47], 1]]]",40.91,0,0,0,0,4.548,0,0.0,5.5,11,0.0
basic_ca,1,"[[[[-0.8299, -0.47], 1], [[-0.5533, -0.235], 5], [[-0.5533, 0.235], 5], [[0.0, 0.235], 6], [[0.0, -0.235], 3], [[0.5533, 0.235], 7], [[-0.8299, -0.47], 1]]]",40.91,0,0,0,0,4.135,0,0.0,5.5,6,0.0

no_ca,2,"[[[[-0.8299, -0.47], 1], [[-0.5533, -0.235], 7], [[-0.5533, 0.235], 6], [[0.0, 0.235], 6], [[0.0, -0.235], 2], [[0.5533, 0.235], 2], [[-0.8299, -0.47], 1]], [[[0.8299, -0.47], 2]]]",14.81,0,0,0,0,4.135,0,0.0,5.5,6,0.0
pf_ca,2,"[[[[-0.83, -0.47], 1.0], [[-0.553, -0.235], 7.0], [[-0.553, 0.235], 6.0], [[-0.074, 0.091], 0.0], [[0.0, 0.235], 6.0], [[0.0, -0.235], 2.0], [[-0.418, 0.039], 0.0], [[0.061, 0.182], 0.0], [[0.553, 0.235], 2.0], [[0.18, 0.568], 0.0], [[-0.11, 0.16], 0.0], [[-0.46, -0.196], 0.0], [[-0.83, -0.47], 1]], [[[0.8299, -0.47], 2]]]",14.81,0,0,0,0,5.42,0,0.0,6.0,12,0.0
basic_ca,2,"[[[[-0.8299, -0.47], 1], [[-0.5533, -0.235], 7], [[-0.5533, 0.235], 6], [[0.0, 0.235], 6], [[0.0, -0.235], 2], [[0.5533, 0.235], 2], [[-0.8299, -0.47], 1]], [[[0.8299, -0.47], 2]]]",14.81,0,0,0,0,4.135,0,0.0,5.5,6,0.0

no_ca,3,"[[[[-0.8299, -0.47], 1], [[-0.5533, -0.235], 9], [[-0.5533, 0.235], 3], [[0.0, 0.235], 1], [[0.0, -0.235], 2], [[0.5533, 0.235], 8], [[-0.8299, -0.47], 1]], [[[0.8299, -0.47], 2]], [[[0.8299, 0.47], 2]]]",34.48,0,0,0,0,4.135,0,0.0,5.5,6,0.0
pf_ca,3,"[[[[-0.83, -0.47], 1.0], [[-0.553, -0.235], 9.0], [[-0.553, 0.235], 3.0], [[-0.955, -0.062], 0.0], [[-0.469, 0.055], 0.0], [[-0.032, 0.298], 0.0], [[0.0, 0.235], 1.0], [[0.0, -0.235], 2.0], [[-0.425, 0.028], 0.0], [[0.048, 0.19], 0.0], [[-0.435, 0.063], 0.0], [[0.064, 0.052], 0.0], [[-0.435, 0.033], 0.0], [[0.032, 0.212], 0.0], [[-0.449, 0.074], 0.0], [[0.048, 0.022], 0.0], [[-0.261, 0.415], 0.0], [[0.216, 0.265], 0.0], [[0.553, 0.235], 8.0], [[0.06, 0.151], 0.0], [[-0.44, 0.147], 0.0], [[-0.695, -0.283], 0.0], [[-0.83, -0.47], 1]], [[[0.8299, -0.47], 2]], [[[0.8299, 0.47], 2]]]",34.48,0,0,0,0,9.941,0,0.0,11.0,22,0.0
basic_ca,3,"[[[[-0.8299, -0.47], 1], [[-0.5533, -0.235], 9], [[-0.5533, 0.235], 3], [[0.0, 0.235], 1], [[0.0, -0.235], 2], [[0.5533, 0.235], 8], [[-0.8299, -0.47], 1]], [[[0.8299, -0.47], 2]], [[[0.8299, 0.47], 2]]]",34.48,0,0,0,0,4.135,0,0.0,5.5,6,0.0

